ID	LABEL	Type	rdfs:domain	rdfs:range	Definition	Definition Source	Synonyms	NGLSDA label	Assigned to	Review Date	Editors Notes	Notes
obo:LSDA_0000001	operates	Object property										
obo:LSDA_0000002	operatedBy	Object property										
obo:LSDA_0000003	managedAt	Object property										
obo:LSDA_0000004	managed	Object property										
obo:LSDA_0000005	hasGeneticType	Object property										
obo:LSDA_0000006	isGeneticTypeOf	Object property										
obo:LSDA_0000007	depicts	Object property										
obo:LSDA_0000008	depictedIn	Object property										
obo:LSDA_0000009	implements	Object property										
obo:LSDA_0000010	implementedBy	Object property										
obo:LSDA_0000011	fundedBy	Object property										
obo:LSDA_0000012	funded	Object property										
obo:LSDA_0000013	implements	Object property										
obo:LSDA_0000014	implementedBy	Object property										
obo:LSDA_0000015	ownedBy	Object property										
obo:LSDA_0000016	owns	Object property										
obo:LSDA_0000017	investigates	Object property										
obo:LSDA_0000018	investigatedBy	Object property										
obo:LSDA_0000049	dataset_catalog	Data property										
obo:LSDA_0000050	subject_id	Data property										
obo:LSDA_0000051	bio_id	Data property										
obo:LSDA_0000052	dataset_name	Data property										
obo:LSDA_0000053	research_area	Data property										
obo:LSDA_0000054	document_number	Data property										
obo:LSDA_0000055	bio_cat_name	Data property										
obo:LSDA_0000056	release_date	Data property										
obo:LSDA_0000057	program_name	Data property										
obo:LSDA_0000058	duration	Data property										
obo:LSDA_0000059	alias	Data property										
obo:LSDA_0000060	keyword	Data property										
obo:LSDA_0000061	availability	Data property										
obo:LSDA_0000062	lastname	Data property										
obo:LSDA_0000063	organism	Data property										
obo:LSDA_0000064	component_description	Data property										
obo:LSDA_0000065	species	Data property										
obo:LSDA_0000066	hardware_name	Data property										
obo:LSDA_0000067	document_title	Data property										
obo:LSDA_0000068	session_type	Data property										
obo:LSDA_0000069	hardware_description	Data property										
obo:LSDA_0000070	scientific_name	Data property										
obo:LSDA_0000071	proposal_source	Data property										
obo:LSDA_0000072	mission_id	Data property										
obo:LSDA_0000073	location	Data property										
obo:LSDA_0000074	experiment_description	Data property										
obo:LSDA_0000075	protocol	Data property										
obo:LSDA_0000076	experiment_type	Data property										
obo:LSDA_0000077	durationRange	Data property										
obo:LSDA_0000078	experiment_id	Data property										
obo:LSDA_0000079	firstname	Data property										
obo:LSDA_0000080	description	Data property										
obo:LSDA_0000081	image_id	Data property										
obo:LSDA_0000082	fixative	Data property										
obo:LSDA_0000083	age	Data property										
obo:LSDA_0000084	bio_name	Data property										
obo:LSDA_0000085	institution_name	Data property										
obo:LSDA_0000086	gender	Data property										
obo:LSDA_0000087	launchDate	Data property										
obo:LSDA_0000088	mission_description	Data property										
obo:LSDA_0000089	per_id	Data property										
obo:LSDA_0000090	payload_title	Data property										
obo:LSDA_0000091	experiment_title	Data property										
obo:LSDA_0000092	landDate	Data property										
obo:LSDA_0000093	nasa_center_code	Data property										
obo:LSDA_0000094	document_description	Data property										
obo:LSDA_0000095	proposal_date	Data property										
obo:LSDA_0000096	component_name	Data property										
obo:LSDA_0000097	configuration_description	Data property										
obo:LSDA_0000098	hardware_type	Data property										
obo:LSDA_0000099	city	Data property										
obo:LSDA_0000100	configuration_name	Data property										
obo:LSDA_0000101	file_thumbnail	Data property										
obo:LSDA_0000102	protocol_approach	Data property										
obo:LSDA_0000103	file_name	Data property										
obo:LSDA_0000104	payload_name	Data property										
obo:LSDA_0000105	photo_description	Data property										
obo:LSDA_0000106	keywords	Data property										
obo:LSDA_0000107	middlename	Data property										
obo:LSDA_0000108	review	Data property										
obo:SDDO_3000008	generates	Object property										
obo:SDDO_3000009	uses	Object property										
rdfs:label	label	Annotation property										
